site_id,month,date,latitude,longitude,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_same_month_hotspot_like,observed_same_month_dhw_like,observed_percent_bleaching,label_quality_score,source_count,has_conflict_history,has_derived_label_input,observed_record_count,observed_rows_in_month,observed_dates_in_month,country_name,ecoregion_name,target_bleaching_event,observed_severity_category,target_is_direct_observation,target_is_binary_derivation,target_eligible,coverage_warning,month_sin,month_cos,weekly_history_dates,hotspot_like,dhw_like,weekly_anchor_date,days_since_anchor_monday,weekly_history_weeks_available,weekly_expected_history_weeks,weekly_missing_fraction_12w,weekly_history_span_days,weekly_missing_internal_weeks,hotspot_like_lag_1w,dhw_like_lag_1w,hotspot_like_lag_2w,dhw_like_lag_2w,hotspot_like_lag_4w,dhw_like_lag_4w,hotspot_like_lag_8w,dhw_like_lag_8w,hotspot_like_mean_4w,hotspot_like_max_4w,hotspot_like_min_4w,hotspot_like_trend_4w,hotspot_like_positive_weeks_4w,dhw_like_mean_4w,dhw_like_max_4w,dhw_like_min_4w,dhw_like_trend_4w,dhw_like_positive_weeks_4w,dhw_like_alert_weeks_4w,hotspot_like_mean_8w,hotspot_like_max_8w,hotspot_like_min_8w,hotspot_like_trend_8w,hotspot_like_positive_weeks_8w,dhw_like_mean_8w,dhw_like_max_8w,dhw_like_min_8w,dhw_like_trend_8w,dhw_like_positive_weeks_8w,dhw_like_alert_weeks_8w,hotspot_like_mean_12w,hotspot_like_max_12w,hotspot_like_min_12w,hotspot_like_trend_12w,hotspot_like_positive_weeks_12w,dhw_like_mean_12w,dhw_like_max_12w,dhw_like_min_12w,dhw_like_trend_12w,dhw_like_positive_weeks_12w,dhw_like_alert_weeks_12w,weekly_feature_ready,split
4,2014-08,2014-08-23,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,3.0,-7.19,0.0,0.875,0.77,1,True,False,4,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,Multiple raw rows for the same site-date disagreed and were averaged.,-0.4999999999999998,-0.8660254037844388,"['2014-06-02', '2014-06-09', '2014-06-16', '2014-06-23', '2014-06-30', '2014-07-07', '2014-07-14', '2014-07-21', '2014-07-28', '2014-08-04', '2014-08-11', '2014-08-18']",-6.99,0.0,2014-08-18,5.0,12.0,12.0,0.0,77.0,0.0,-6.66,0.0,-6.140000000000001,0.0,-7.32,0.0,-5.68,0.0,-6.5024999999999995,-6.140000000000001,-6.99,-0.2829999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.705,-6.140000000000001,-7.32,0.010476190476189903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1741666666666655,-4.39,-7.32,-0.19059440559440546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,validation
4,2015-10,2015-10-24,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,4.0,-3.02,0.0,0.75,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,-1.0,-1.8369701987210297e-16,"['2015-08-03', '2015-08-10', '2015-08-17', '2015-08-24', '2015-08-31', '2015-09-07', '2015-09-14', '2015-09-21', '2015-09-28', '2015-10-05', '2015-10-12', '2015-10-19']",-4.22,0.0,2015-10-19,5.0,12.0,12.0,0.0,77.0,0.0,-4.7,0.0,-4.62,0.0,-4.5200000000000005,0.0,-5.89,0.0,-4.4725,-4.22,-4.7,0.03100000000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.57,-4.22,-5.0600000000000005,0.03857142857142838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.114166666666667,-4.22,-6.390000000000001,0.19716783216783182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,validation
4,2016-04,2016-04-09,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,4.5,-1.8,1.58,6.375,0.77,1,True,False,4,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,Multiple raw rows for the same site-date disagreed and were averaged.,1.0,6.123233995736766e-17,"['2016-01-18', '2016-01-25', '2016-02-01', '2016-02-08', '2016-02-15', '2016-02-22', '2016-02-29', '2016-03-07', '2016-03-14', '2016-03-21', '2016-03-28', '2016-04-04']",-0.22,5.05,2016-04-04,5.0,12.0,12.0,0.0,77.0,0.0,0.24,5.05,0.31,5.05,0.62,5.05,0.78,1.31,0.125,0.31,-0.22,-0.12400000000000001,3.0,5.05,5.05,5.05,-5.239032401212563e-16,4.0,4.0,0.6699999999999999,1.51,-0.22,-0.2511904761904761,7.0,4.4075,5.05,1.86,0.3692857142857146,8.0,6.0,0.6841666666666666,1.51,-0.22,-0.07444055944055938,11.0,3.1275,5.05,0.15,0.5508741258741258,12.0,6.0,True,validation
4,2017-06,2017-06-09,-19.1483,146.8703,123.51,Sometimes,0.1819,43.39,4.0,-7.16,1.78,2.125,0.77,1,True,False,4,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,Multiple raw rows for the same site-date disagreed and were averaged.,0.49999999999999994,-0.8660254037844387,"['2017-03-20', '2017-03-27', '2017-04-03', '2017-04-10', '2017-04-17', '2017-04-24', '2017-05-01', '2017-05-08', '2017-05-15', '2017-05-22', '2017-05-29', '2017-06-05']",-5.5200000000000005,2.49,2017-06-05,4.0,12.0,12.0,0.0,77.0,0.0,-4.43,2.96,-4.61,2.96,-3.59,4.87,-1.09,7.67,-4.6925,-4.21,-5.5200000000000005,-0.374999999999999,0.0,3.07,3.87,2.49,-0.4140000000000006,4.0,0.0,-3.855,-2.06,-5.5200000000000005,-0.42261904761904767,0.0,4.27625,6.68,2.49,-0.577023809523809,8.0,4.0,-2.4466666666666668,1.29,-5.5200000000000005,-0.6246853146853146,3.0,5.3175,7.67,2.49,-0.5076573426573422,12.0,8.0,True,test
6,2012-02,2012-02-17,-19.1227,146.8814,216.38,Sometimes,0.1384,43.39,2.0,0.61,2.51,1.75,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.49999999999999994,0.8660254037844387,"['2011-11-28', '2011-12-05', '2011-12-12', '2011-12-19', '2011-12-26', '2012-01-02', '2012-01-09', '2012-01-16', '2012-01-23', '2012-01-30', '2012-02-06', '2012-02-13']",1.41,2.1,2012-02-13,4.0,12.0,12.0,0.0,77.0,0.0,1.42,0.9500000000000001,0.8200000000000001,0.15,0.0,0.0,-0.77,0.0,1.005,1.42,0.37,0.3719999999999999,4.0,0.8,2.1,0.0,0.7100000000000001,3.0,0.0,0.43374999999999997,1.42,-0.4,0.2629761904761904,5.0,0.4,2.1,0.0,0.2369047619047618,3.0,0.0,0.04416666666666667,1.42,-1.2,0.21332167832167825,5.0,0.26666666666666666,2.1,0.0,0.11433566433566429,3.0,0.0,True,train
6,2014-06,2014-06-14,-19.1227,146.8814,216.38,Sometimes,0.1384,43.39,5.0,-7.41,0.0,1.5,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.49999999999999994,-0.8660254037844387,"['2014-03-24', '2014-03-31', '2014-04-07', '2014-04-14', '2014-04-21', '2014-04-28', '2014-05-05', '2014-05-12', '2014-05-19', '2014-05-26', '2014-06-02', '2014-06-09']",-4.91,0.0,2014-06-09,5.0,12.0,12.0,0.0,77.0,0.0,-4.39,0.0,-4.22,0.0,-3.86,0.0,-1.68,0.0,-4.5425,-4.22,-4.91,-0.09499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6275000000000004,-1.77,-4.91,-0.443095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9150000000000005,-1.22,-4.91,-0.3685314685314684,0.0,0.013333333333333334,0.16,0.0,-0.006153846153846156,1.0,0.0,True,validation
6,2015-07,2015-07-26,-19.1227,146.8814,216.38,Sometimes,0.1384,43.39,5.0,-6.5,0.0,13.25,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,moderate,True,False,True,,1.2246467991473532e-16,-1.0,"['2015-05-04', '2015-05-11', '2015-05-18', '2015-05-25', '2015-06-01', '2015-06-08', '2015-06-15', '2015-06-22', '2015-06-29', '2015-07-06', '2015-07-13', '2015-07-20']",-7.94,0.0,2015-07-20,6.0,12.0,12.0,0.0,77.0,0.0,-7.15,0.0,-6.38,0.0,-5.7,0.0,-4.51,0.68,-6.867500000000001,-6.0,-7.94,-0.658999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.01875,-4.2,-7.94,-0.45964285714285746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.083333333333333,-1.99,-7.94,-0.4795104895104895,0.0,0.2891666666666667,0.98,0.0,-0.10073426573426572,4.0,0.0,True,validation
6,2017-03,2017-03-19,-19.1227,146.8814,216.38,Sometimes,0.1384,43.39,3.0,1.78,8.71,6.25,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.8660254037844386,0.5000000000000001,"['2016-12-26', '2017-01-02', '2017-01-09', '2017-01-16', '2017-01-23', '2017-01-30', '2017-02-06', '2017-02-13', '2017-02-20', '2017-02-27', '2017-03-06', '2017-03-13']",1.06,5.18,2017-03-13,6.0,12.0,12.0,0.0,77.0,0.0,0.86,4.71,0.8,4.71,1.19,2.79,0.55,0.0,1.035,1.42,0.8,-0.10200000000000026,4.0,4.5975,5.18,3.79,0.41699999999999954,4.0,3.0,1.0637499999999998,1.55,0.42,-0.045357142857142804,8.0,3.39,5.18,0.99,0.5773809523809522,8.0,3.0,0.8458333333333333,1.55,0.17,0.061293706293706285,12.0,2.2600000000000002,5.18,0.0,0.5488811188811188,8.0,3.0,True,test
7,2006-10,2006-10-08,-19.1219,146.8808,126.24,Sometimes,0.1384,43.39,4.0,-4.29,0.0,0.0,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,0,none,True,False,True,,-1.0,-1.8369701987210297e-16,"['2006-07-17', '2006-07-24', '2006-07-31', '2006-08-07', '2006-08-14', '2006-08-21', '2006-08-28', '2006-09-04', '2006-09-11', '2006-09-18', '2006-09-25', '2006-10-02']",-5.38,0.0,2006-10-02,6.0,12.0,12.0,0.0,77.0,0.0,-5.42,0.0,-6.2700000000000005,0.0,-5.68,0.0,-6.97,0.0,-5.8525,-5.38,-6.34,0.3730000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.22625,-5.38,-7.18,0.24630952380952348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.460833333333333,-5.38,-7.18,0.15367132867132824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train
7,2016-06,2016-06-26,-19.1219,146.8808,126.24,Sometimes,0.1384,43.39,3.0,-5.51,0.0,5.0,0.87,1,False,False,2,1,1,Australia,Central and northern Great Barrier Reef,1,mild,True,False,True,,0.49999999999999994,-0.8660254037844387,"['2016-04-04', '2016-04-11', '2016-04-18', '2016-04-25', '2016-05-02', '2016-05-09', '2016-05-16', '2016-05-23', '2016-05-30', '2016-06-06', '2016-06-13', '2016-06-20']",-4.62,0.0,2016-06-20,6.0,12.0,12.0,0.0,77.0,0.0,-4.08,0.0,-4.34,0.0,-2.97,0.53,-1.79,4.5600000000000005,-4.035,-3.1,-4.62,-0.4299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2350000000000003,-1.71,-4.62,-0.41571428571428587,0.0,1.1075,3.73,0.0,-0.557142857142857,4.0,0.0,-2.5608333333333335,-0.22,-4.62,-0.36821678321678314,0.0,2.34,5.05,0.0,-0.5830769230769229,8.0,4.0,True,validation
