site_id,month,date,latitude,longitude,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_same_month_hotspot_like,observed_same_month_dhw_like,observed_percent_bleaching,label_quality_score,source_count,has_conflict_history,has_derived_label_input,observed_record_count,observed_rows_in_month,observed_dates_in_month,country_name,ecoregion_name,target_bleaching_event,observed_severity_category,target_is_direct_observation,target_is_binary_derivation,target_eligible,coverage_warning,month_sin,month_cos,weekly_history_dates,hotspot_like,dhw_like,weekly_anchor_date,days_since_anchor_monday,weekly_history_weeks_available,weekly_expected_history_weeks,weekly_missing_fraction_12w,weekly_history_span_days,weekly_missing_internal_weeks,hotspot_like_lag_1w,dhw_like_lag_1w,hotspot_like_lag_2w,dhw_like_lag_2w,hotspot_like_lag_4w,dhw_like_lag_4w,hotspot_like_lag_8w,dhw_like_lag_8w,hotspot_like_mean_4w,hotspot_like_max_4w,hotspot_like_min_4w,hotspot_like_trend_4w,hotspot_like_positive_weeks_4w,dhw_like_mean_4w,dhw_like_max_4w,dhw_like_min_4w,dhw_like_trend_4w,dhw_like_positive_weeks_4w,dhw_like_alert_weeks_4w,hotspot_like_mean_8w,hotspot_like_max_8w,hotspot_like_min_8w,hotspot_like_trend_8w,hotspot_like_positive_weeks_8w,dhw_like_mean_8w,dhw_like_max_8w,dhw_like_min_8w,dhw_like_trend_8w,dhw_like_positive_weeks_8w,dhw_like_alert_weeks_8w,hotspot_like_mean_12w,hotspot_like_max_12w,hotspot_like_min_12w,hotspot_like_trend_12w,hotspot_like_positive_weeks_12w,dhw_like_mean_12w,dhw_like_max_12w,dhw_like_min_12w,dhw_like_trend_12w,dhw_like_positive_weeks_12w,dhw_like_alert_weeks_12w,weekly_feature_ready,split,reference_observed_date,future_window_end_date,future_observation_count_4w,future_positive_observation_count_4w,first_future_observation_date,first_future_positive_date,days_to_first_future_observation,days_to_first_future_positive,target_bleaching_event_next_4w,target_label_window,target_label_source,split_eligible
6304,1992-12,1992-12-14,7.158,171.069,3322.5,Sheltered,0.0471,52.67,2.0,-2.38,1.01,60.0,0.87,1,False,False,1,1,1,Marshall Islands,Marshall Islands,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,-0.5000000000000004,0.8660254037844384,"['1992-09-28', '1992-10-05', '1992-10-12', '1992-10-19', '1992-10-26', '1992-11-02', '1992-11-09', '1992-11-16', '1992-11-23', '1992-11-30', '1992-12-07', '1992-12-14']",0.36,0.15,1992-12-14,0,12.0,12.0,0.0,77.0,0.0,-0.72,0.15,-0.6,0.15,0.25,0.15,0.08,0.15,-0.2525,0.36,-0.72,0.1109999999999999,1.0,0.15,0.15,0.15,-2.255841127716217e-17,4.0,0.0,0.04875,0.64,-0.72,-0.119642857142857,5.0,0.15,0.15,0.15,5.435527973349964e-18,8.0,0.0,0.0633333333333333,0.64,-0.72,-0.04006993006993,8.0,0.1124999999999999,0.15,0.0,0.0141608391608391,9.0,0.0,True,train,1992-12-15,1993-01-11,1,1,1992-12-15,1992-12-15,1,1,1,next_4w,future_direct_observation,True
1214,1993-04,1993-04-12,24.65,-76.805,426.09,Sometimes,0.0444,51.43,3.0,-5.1,0.0,33.0,0.87,1,False,False,1,1,1,Bahamas,Bahamas and Florida Keys,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,1.0,6.123233995736766e-17,"['1993-01-25', '1993-02-01', '1993-02-08', '1993-02-15', '1993-02-22', '1993-03-01', '1993-03-08', '1993-03-15', '1993-03-22', '1993-03-29', '1993-04-05', '1993-04-12']",-4.57,0.0,1993-04-12,0,12.0,12.0,0.0,77.0,0.0,-4.59,0.0,-5.03,0.0,-6.61,0.0,-6.28,0.0,-5.1450000000000005,-4.57,-6.390000000000001,0.590000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7475000000000005,-4.57,-6.61,0.2907142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.764166666666668,-4.57,-6.61,0.0822027972027967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1993-04-15,1993-05-10,1,1,1993-04-15,1993-04-15,3,3,1,next_4w,future_direct_observation,True
6294,1993-05,1993-05-10,7.07,171.295,11.55,Sheltered,0.0258,51.97,1.0,-2.03,0.0,62.0,0.87,1,False,False,1,1,1,Marshall Islands,Marshall Islands,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844387,-0.4999999999999998,"['1993-02-22', '1993-03-01', '1993-03-08', '1993-03-15', '1993-03-22', '1993-03-29', '1993-04-05', '1993-04-12', '1993-04-19', '1993-04-26', '1993-05-03', '1993-05-10']",-1.1,0.0,1993-05-10,0,12.0,12.0,0.0,77.0,0.0,-1.5,0.0,-1.06,0.0,-1.37,0.0,-1.92,0.0,-1.3725,-1.06,-1.83,0.1750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3525,-0.89,-1.83,0.0204761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6333333333333335,-0.89,-2.7,0.0969930069930068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1993-05-15,1993-06-07,1,1,1993-05-15,1993-05-15,5,5,1,next_4w,future_direct_observation,True
1214,1994-03,1994-03-14,24.65,-76.805,426.09,Sometimes,0.0444,51.43,3.0,-5.87,0.0,8.0,0.87,1,False,False,1,1,1,Bahamas,Bahamas and Florida Keys,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844386,0.5000000000000001,"['1993-12-27', '1994-01-03', '1994-01-10', '1994-01-17', '1994-01-24', '1994-01-31', '1994-02-07', '1994-02-14', '1994-02-21', '1994-02-28', '1994-03-07', '1994-03-14']",-6.17,0.0,1994-03-14,0,12.0,12.0,0.0,77.0,0.0,-6.0200000000000005,0.0,-4.51,0.0,-4.65,0.0,-5.59,0.0,-5.297499999999999,-4.49,-6.17,-0.6549999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3100000000000005,-4.49,-6.17,-0.0230952380952383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.264166666666667,-4.37,-6.17,-0.0328321678321679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,train,1994-03-15,1994-04-11,1,1,1994-03-15,1994-03-15,1,1,1,next_4w,future_direct_observation,True
3479,1994-03,1994-03-14,-17.5167,-149.5333,729.74,Sheltered,0.0497,44.78,8.0,0.23,0.0,42.0,0.87,1,False,False,1,1,1,French Polynesia,Society Islands French Polynesia,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844386,0.5000000000000001,"['1993-12-27', '1994-01-03', '1994-01-10', '1994-01-17', '1994-01-24', '1994-01-31', '1994-02-07', '1994-02-14', '1994-02-21', '1994-02-28', '1994-03-07', '1994-03-14']",0.7000000000000001,1.44,1994-03-14,0,12.0,12.0,0.0,77.0,0.0,0.23,1.44,0.76,0.97,0.64,0.0,-0.12,0.0,0.5625,0.76,0.23,-0.0110000000000001,4.0,1.0825,1.44,0.48,0.3349999999999999,4.0,0.0,0.42125,0.76,0.05,0.070595238095238,8.0,0.54125,1.44,0.0,0.2460714285714285,4.0,0.0,0.185,0.76,-0.6,0.0993706293706293,8.0,0.3608333333333333,1.44,0.0,0.1328321678321677,4.0,0.0,True,train,1994-03-15,1994-04-11,1,1,1994-03-15,1994-03-15,1,1,1,next_4w,future_direct_observation,True
666,1994-03,1994-03-14,-14.3,-170.7,171.23,Exposed,0.0284,52.54,24.25,0.72,7.14,45.0,0.77,1,True,False,2,1,1,United States,Samoa Tuvalu and Tonga,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,0.8660254037844386,0.5000000000000001,"['1993-12-27', '1994-01-03', '1994-01-10', '1994-01-17', '1994-01-24', '1994-01-31', '1994-02-07', '1994-02-14', '1994-02-21', '1994-02-28', '1994-03-07', '1994-03-14']",0.86,4.26,1994-03-14,0,12.0,12.0,0.0,77.0,0.0,1.51,3.14,1.49,1.66,0.77,0.77,0.13,0.62,1.245,1.51,0.86,-0.076,4.0,2.5425,4.26,1.11,1.0929999999999995,4.0,1.0,0.855,1.51,0.16,0.1554761904761904,8.0,1.6,4.26,0.62,0.4945238095238094,8.0,1.0,0.745,1.51,0.13,0.0799300699300699,12.0,1.1700000000000002,4.26,0.0,0.2982517482517481,10.0,1.0,True,train,1994-03-15,1994-04-11,1,1,1994-03-15,1994-03-15,1,1,1,next_4w,future_direct_observation,True
3467,1994-04,1994-04-11,-17.575,-149.7833,1431.62,Exposed,0.0262,51.2,,-0.11,0.93,72.38,0.82,1,False,False,1,1,1,French Polynesia,Society Islands French Polynesia,1,severe,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,1.0,6.123233995736766e-17,"['1994-01-24', '1994-01-31', '1994-02-07', '1994-02-14', '1994-02-21', '1994-02-28', '1994-03-07', '1994-03-14', '1994-03-21', '1994-03-28', '1994-04-04', '1994-04-11']",-0.3,2.85,1994-04-11,0,12.0,12.0,0.0,77.0,0.0,0.67,2.85,0.92,2.37,0.8,1.74,0.68,0.0,0.6025,1.12,-0.3,-0.4510000000000002,3.0,2.4925,2.85,1.9,0.3329999999999997,4.0,0.0,0.6275000000000001,1.12,-0.3,-0.0642857142857142,7.0,1.90125,2.85,0.54,0.3139285714285714,8.0,0.0,0.5258333333333334,1.12,-0.3,0.0207342657342657,11.0,1.2675,2.85,0.0,0.3049300699300699,8.0,0.0,True,train,1994-04-15,1994-05-09,1,1,1994-04-15,1994-04-15,4,4,1,next_4w,future_direct_observation,True
666,1994-04,1994-04-11,-14.3,-170.7,171.23,Exposed,0.0284,52.54,8.5,-0.84,8.29,15.0,0.87,1,False,False,2,1,1,United States,Samoa Tuvalu and Tonga,1,moderate,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,1.0,6.123233995736766e-17,"['1994-01-24', '1994-01-31', '1994-02-07', '1994-02-14', '1994-02-21', '1994-02-28', '1994-03-07', '1994-03-14', '1994-03-21', '1994-03-28', '1994-04-04', '1994-04-11']",-0.11,5.13,1994-04-11,0,12.0,12.0,0.0,77.0,0.0,0.8200000000000001,5.13,1.24,5.11,0.86,4.26,0.77,0.77,0.6575000000000001,1.24,-0.11,-0.2790000000000001,3.0,4.984999999999999,5.13,4.57,0.1699999999999992,4.0,4.0,0.95125,1.51,-0.11,-0.1541666666666666,7.0,3.76375,5.13,1.11,0.615595238095238,8.0,5.0,0.7891666666666667,1.51,-0.11,0.0138111888111888,11.0,2.728333333333333,5.13,0.62,0.5299300699300697,12.0,5.0,True,train,1994-04-15,1994-05-09,1,1,1994-04-15,1994-04-15,4,4,1,next_4w,future_direct_observation,True
3507,1994-07,1994-07-11,-18.742,-141.797,1612.28,Sheltered,0.0249,47.78,,-2.94,0.0,10.0,0.82,1,False,False,1,1,1,French Polynesia,Western Tuamotu Archipelago central Pacific,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,1.2246467991473532e-16,-1.0,"['1994-04-25', '1994-05-02', '1994-05-09', '1994-05-16', '1994-05-23', '1994-05-30', '1994-06-06', '1994-06-13', '1994-06-20', '1994-06-27', '1994-07-04', '1994-07-11']",-1.87,0.0,1994-07-11,0,12.0,12.0,0.0,77.0,0.0,-1.62,0.0,-1.49,0.0,-0.6,0.18,-0.8200000000000001,0.81,-1.375,-0.52,-1.87,-0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.015,-0.26,-1.87,-0.1697619047619047,0.0,0.1699999999999999,0.67,0.0,-0.084047619047619,4.0,0.0,-0.8683333333333335,-0.25,-1.87,-0.1041258741258741,0.0,0.3833333333333333,0.81,0.0,-0.0962937062937062,8.0,0.0,True,train,1994-07-15,1994-08-08,1,1,1994-07-15,1994-07-15,4,4,1,next_4w,future_direct_observation,True
3508,1994-07,1994-07-11,-18.705,-141.832,458.77,Exposed,0.0234,47.78,,-2.93,0.0,10.0,0.82,1,False,False,1,1,1,French Polynesia,Western Tuamotu Archipelago central Pacific,1,mild,True,False,True,Future label is positive because a direct survey in the next 4 weeks reported bleaching.,1.2246467991473532e-16,-1.0,"['1994-04-25', '1994-05-02', '1994-05-09', '1994-05-16', '1994-05-23', '1994-05-30', '1994-06-06', '1994-06-13', '1994-06-20', '1994-06-27', '1994-07-04', '1994-07-11']",-1.88,0.0,1994-07-11,0,12.0,12.0,0.0,77.0,0.0,-1.6,0.0,-1.47,0.0,-0.62,0.18,-0.86,0.81,-1.3625,-0.5,-1.88,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0125,-0.24,-1.88,-0.1666666666666666,0.0,0.16875,0.66,0.0,-0.0832142857142856,4.0,0.0,-0.8725,-0.23,-1.88,-0.1016433566433566,0.0,0.3825,0.81,0.0,-0.0961888111888111,8.0,0.0,True,train,1994-07-15,1994-08-08,1,1,1994-07-15,1994-07-15,4,4,1,next_4w,future_direct_observation,True
