site_id,latitude,longitude,ocean_name,realm_name,ecoregion_name,country_name,state_name,city_town_name,site_name,reef_id,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_record_count,observed_positive_count,latest_observed_date,first_observed_date,provenance_source_count,provenance_sources,mean_label_quality_score,display_name
12078,24.4489,-81.9496,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8124.0,Exposed,0.0586,56.58,9.3,1,1,2010-08-18,2010-08-18,1,"[""FRRP""]",0.87,Monroe County
13320,25.2142,-80.2876,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4049.0,Sheltered,0.1769,56.55,1.8,1,1,2008-09-15,2008-09-15,1,"[""FRRP""]",0.87,Monroe County
13321,25.2142,-80.207,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,11054.0,Exposed,0.0498,56.55,17.0,1,1,2012-09-28,2012-09-28,1,"[""FRRP""]",0.87,Monroe County
13322,25.2142,-80.2147,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10447.0,Exposed,0.1047,56.55,10.8,1,1,2012-09-28,2012-09-28,1,"[""FRRP""]",0.87,Monroe County
13323,25.2144,-80.2169,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10246.0,Exposed,0.1047,56.55,3.0,1,1,2009-08-04,2009-08-04,1,"[""FRRP""]",0.87,Monroe County
13119,25.0019,-80.4353,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5548.0,Exposed,0.1711,60.51,3.5,1,1,2010-09-08,2010-09-08,1,"[""FRRP""]",0.87,Monroe County
13324,25.2145,-80.2763,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4810.0,Sheltered,0.1769,56.55,3.2,1,1,2012-09-07,2012-09-07,1,"[""FRRP""]",0.87,Monroe County
9236,24.6287,-82.8971,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,2316.32,Sheltered,0.082,71.57,8.1,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.27,Monroe County
13118,25.0014,-80.3988,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,7338.0,Exposed,0.1005,60.51,7.6,1,1,2010-09-09,2010-09-09,1,"[""FRRP""]",0.87,Monroe County
13325,25.2146,-80.2803,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4478.0,Sheltered,0.1769,56.55,2.8,1,1,2012-09-07,2012-09-07,1,"[""FRRP""]",0.87,Monroe County
13326,25.2154,-80.2742,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4942.0,Sheltered,0.1769,56.55,3.4,1,1,2015-09-11,2015-09-11,1,"[""FRRP""]",0.87,Monroe County
12066,24.4443,-81.9408,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8828.0,Exposed,0.0586,56.58,9.8,1,1,2015-08-25,2015-08-25,1,"[""FRRP""]",0.87,Monroe County
13327,25.2157,-80.2328,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8722.0,Exposed,0.1047,56.55,3.4,1,1,2016-09-23,2016-09-23,1,"[""FRRP""]",0.87,Monroe County
13319,25.2137,-80.2653,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5874.0,Sheltered,0.1769,56.55,1.4,1,1,2012-09-18,2012-09-18,1,"[""FRRP""]",0.87,Monroe County
13318,25.2137,-80.2107,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10887.03,Exposed,0.1047,56.55,7.1,1,1,2006-09-21,2006-09-21,1,"[""FRRP""]",0.87,Monroe County
12046,24.4707,-81.7488,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8999.0,Exposed,0.0727,53.15,16.6,1,1,2010-08-25,2010-08-25,1,"[""FRRP""]",0.87,Monroe County
12047,24.4707,-81.7897,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8265.0,Exposed,0.0789,53.15,8.8,1,1,2015-09-02,2015-09-02,1,"[""FRRP""]",0.87,Monroe County
13315,25.2124,-80.2088,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,11135.0,Exposed,0.1047,56.55,14.8,1,1,2012-09-19,2012-09-19,1,"[""FRRP""]",0.87,Monroe County
12048,24.4707,-81.8021,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8132.0,Exposed,0.0938,53.15,12.6,1,1,2014-08-18,2014-08-18,1,"[""FRRP""]",0.87,Monroe County
12049,24.4708,-81.7297,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9310.0,Exposed,0.0727,53.15,16.0,1,1,2015-09-03,2015-09-03,1,"[""FRRP""]",0.87,Monroe County
13122,25.003,-80.4377,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5321.63,Exposed,0.1711,60.51,3.0,1,1,2006-09-22,2006-09-22,1,"[""FRRP""]",0.87,Monroe County
12050,24.4708,-81.9715,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5854.0,Sheltered,0.1055,56.58,12.2,1,1,2016-09-06,2016-09-06,1,"[""FRRP""]",0.87,Monroe County
12051,24.4716,-81.9538,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5581.0,Sheltered,0.1116,56.58,11.6,1,1,2012-09-27,2012-09-27,1,"[""FRRP""]",0.87,Monroe County
