site_id,date,reason
1170,2010-12-15,missing_observed_percent_bleaching
1215,1987-09-15,missing_observed_percent_bleaching
1215,1998-03-15,missing_observed_percent_bleaching
1225,1987-06-15,missing_observed_percent_bleaching
1229,1999-07-30,missing_observed_percent_bleaching
1230,1999-07-31,missing_observed_percent_bleaching
1231,2003-05-12,missing_observed_percent_bleaching
1231,2004-05-08,missing_observed_percent_bleaching
1232,2012-05-13,missing_observed_percent_bleaching
1233,2003-05-15,missing_observed_percent_bleaching
1234,1998-06-15,missing_observed_percent_bleaching
1235,1998-06-15,missing_observed_percent_bleaching
1236,1998-06-15,missing_observed_percent_bleaching
1237,1998-06-15,missing_observed_percent_bleaching
1238,2000-06-28,missing_observed_percent_bleaching
1239,2002-06-19,missing_observed_percent_bleaching
1240,2005-07-15,missing_observed_percent_bleaching
1326,1983-09-15,missing_observed_percent_bleaching
1327,1987-09-15,missing_observed_percent_bleaching
1328,1987-09-15,missing_observed_percent_bleaching
1328,1987-10-15,missing_observed_percent_bleaching
1329,2005-09-15,missing_observed_percent_bleaching
1336,2005-11-15,missing_observed_percent_bleaching
1349,1997-07-25,missing_observed_percent_bleaching
1349,1998-06-05,missing_observed_percent_bleaching
1350,1999-08-13,missing_observed_percent_bleaching
1350,2000-07-07,missing_observed_percent_bleaching
1351,2000-07-07,missing_observed_percent_bleaching
1352,1998-06-05,missing_observed_percent_bleaching
1352,1999-08-13,missing_observed_percent_bleaching
1353,1998-05-19,missing_observed_percent_bleaching
1354,1999-08-20,missing_observed_percent_bleaching
1354,2000-07-14,missing_observed_percent_bleaching
1355,1998-08-07,missing_observed_percent_bleaching
1355,1999-08-20,missing_observed_percent_bleaching
1355,2000-07-14,missing_observed_percent_bleaching
1356,1998-08-07,missing_observed_percent_bleaching
1385,2001-04-22,missing_observed_percent_bleaching
1385,2002-01-19,missing_observed_percent_bleaching
1385,2002-04-21,missing_observed_percent_bleaching
1385,2002-08-31,missing_observed_percent_bleaching
1386,2002-08-31,missing_observed_percent_bleaching
1387,2001-04-22,missing_observed_percent_bleaching
1387,2001-09-15,missing_observed_percent_bleaching
1387,2002-08-31,missing_observed_percent_bleaching
1388,1997-08-01,missing_observed_percent_bleaching
1389,2001-04-22,missing_observed_percent_bleaching
1389,2001-09-15,missing_observed_percent_bleaching
1389,2002-08-31,missing_observed_percent_bleaching
1390,2002-04-21,missing_observed_percent_bleaching
1391,2002-05-18,missing_observed_percent_bleaching
1392,2002-01-19,missing_observed_percent_bleaching
1393,2002-05-19,missing_observed_percent_bleaching
1394,1997-08-06,missing_observed_percent_bleaching
1395,1997-08-06,missing_observed_percent_bleaching
1396,2002-05-12,missing_observed_percent_bleaching
1397,2002-01-19,missing_observed_percent_bleaching
1398,2001-04-22,missing_observed_percent_bleaching
1399,2002-01-19,missing_observed_percent_bleaching
1399,2002-05-12,missing_observed_percent_bleaching
1399,2002-08-31,missing_observed_percent_bleaching
