feature,importance_proxy,importance_std
longitude,0.13784050063938733,0.005413288121238177
latitude,0.020569915134886187,0.0016935124491522836
cyclone_frequency,0.009203777695626147,0.0014746523979850123
distance_to_shore_km,0.007166242193789163,0.0011575026600225335
depth_mean_m,0.0058670187930277675,0.0012707657791440853
hotspot_like,0.005543535329132987,0.0006093267927828888
turbidity,0.005393556706951031,0.0009327232757629265
hotspot_like_mean_12w,0.00526328751792583,0.0006895056075564929
hotspot_like_mean_8w,0.004045766453120958,0.001392738085504317
dhw_like_mean_4w,0.003871735127029352,0.0006149806171547703
dhw_like,0.003398302592273539,0.0006659561850379138
hotspot_like_max_12w,0.0029582804891813974,0.0010001301789482706
hotspot_like_min_4w,0.002630276208206395,0.0007082415010124565
dhw_like_max_8w,0.00250817030402819,0.0006468810628255519
hotspot_like_min_8w,0.002459870622516014,0.00044202750314734356
hotspot_like_lag_2w,0.001857377673236238,0.0005718242188273824
dhw_like_trend_12w,0.001628751881241386,0.00025218238680161975
hotspot_like_lag_1w,0.0016051734591089662,0.00028990959849938843
month_cos,0.001462693848207297,0.00038266217056382
hotspot_like_max_8w,0.0014233979561708466,0.0008334624977186316
hotspot_like_trend_8w,0.0011312094931932083,0.0009125004507023958
month_sin,0.0009765246952489481,0.00040908004454562064
hotspot_like_positive_weeks_4w,0.0007993915730292289,0.00017005464311738272
dhw_like_max_12w,0.0007564181067578057,0.00032061686939786714
hotspot_like_lag_4w,0.0007539220202937181,0.0007584340097152364
dhw_like_positive_weeks_12w,0.0005722347609082301,0.00012311032805188536
dhw_like_max_4w,0.0005306772168809815,0.00018228460584192915
dhw_like_lag_8w,0.0004616477000209396,0.0001291836941630317
dhw_like_trend_4w,0.0003386191091101387,0.0004693228707858185
dhw_like_alert_weeks_4w,0.0003287085711318083,0.0001498626217528512
dhw_like_mean_12w,0.0002719839380638689,0.0002984042337899038
dhw_like_lag_4w,0.00024240016167237366,0.00017027329200520512
dhw_like_lag_2w,0.00020639529784546306,0.00013499120299028847
dhw_like_lag_1w,0.0001793715331487311,0.0002407903156548897
dhw_like_mean_8w,0.00017186139578656556,0.00014589831150559247
dhw_like_min_12w,0.00016748635721092198,0.00015452486360005699
exposure,0.00012805051776204612,0.0003518898049538164
dhw_like_min_8w,9.672543392620358e-05,0.00015732437145185053
hotspot_like_positive_weeks_8w,9.280647576508372e-05,6.871733041990198e-05
dhw_like_alert_weeks_8w,4.28464657787897e-06,9.452892183145866e-06
weekly_history_span_days,0.0,0.0
weekly_history_weeks_available,0.0,0.0
weekly_missing_internal_weeks,0.0,0.0
days_since_anchor_monday,0.0,0.0
dhw_like_positive_weeks_4w,0.0,0.0
dhw_like_alert_weeks_12w,0.0,0.0
weekly_missing_fraction_12w,0.0,0.0
dhw_like_positive_weeks_8w,-2.468924868056499e-05,4.457725106736083e-05
hotspot_like_positive_weeks_12w,-0.00018844193048123126,8.815338079614683e-05
dhw_like_min_4w,-0.0002035607780293658,8.006347302333729e-05
hotspot_like_trend_12w,-0.0002979819955016172,0.0009347205224897879
hotspot_like_trend_4w,-0.0005155810402003413,0.00041468072683874507
dhw_like_trend_8w,-0.0008321668833953244,0.00033218952687406693
hotspot_like_mean_4w,-0.0014626292965802979,0.0004718233986019974
hotspot_like_max_4w,-0.0019729754696608316,0.0006033270520263595
hotspot_like_min_12w,-0.002047492087488778,0.0007180176181597418
hotspot_like_lag_8w,-0.0028267775623223466,0.0010676790270660785
