lat,lon,baa,dhw,sst_anom,turbidity,date,bleaching_present
24.175,-57.075,0,0.0,-4.09,0.0,1985-04-01,0
27.825,-132.625,0,0.0,-4.69,0.0,1985-04-01,0
-16.025,177.075,0,0.0,-0.03,0.0,1985-04-01,0
-21.625,-93.825,0,0.16,-0.85,0.0,1985-04-01,0
11.075,-116.375,0,0.0,-0.9,0.0,1985-04-01,0
17.325,122.375,0,0.0,-1.73,0.0,1985-04-01,0
19.425,166.775,0,0.0,-2.96,0.0,1985-04-01,0
28.825,-168.275,0,0.0,-6.74,0.0,1985-04-01,0
-6.575,39.275,1,0.3,0.13,0.0,1985-04-01,1
-6.525,-20.575,1,0.0,0.88,0.0,1985-04-01,1
23.825,-107.375,0,0.0,-9.82,0.0,1985-04-01,0
18.775,-144.025,0,0.0,-3.81,0.0,1985-04-01,0
-18.625,9.925,0,1.4000000000000001,-2.1,0.0,1985-04-01,0
-6.825,-158.125,0,0.0,-1.92,0.0,1985-04-01,0
29.475,-159.475,0,0.0,-4.88,0.0,1985-04-01,0
25.925,-148.725,0,0.0,-4.25,0.0,1985-04-01,0
-6.275,12.225,1,0.0,-0.75,0.0,1985-04-01,1
-13.975,69.575,0,0.51,-0.74,0.0,1985-04-01,0
-26.225,-90.275,0,1.21,-1.04,0.0,1985-04-01,0
3.175,159.425,0,0.0,-0.86,0.0,1985-04-01,0
-20.975,41.925,0,1.8900000000000001,-1.27,0.0,1985-04-01,0
20.125,134.775,0,0.0,-3.2,0.0,1985-04-01,0
-13.225,1.075,0,0.78,-0.54,0.0,1985-04-01,0
20.675,-153.475,0,0.0,-4.2,0.0,1985-04-01,0
-14.725,-95.775,1,0.0,-0.3,0.0,1985-04-01,1
13.075,137.025,0,0.0,-1.58,0.0,1985-04-01,0
-17.525,74.275,0,0.0,-0.3,0.0,1985-04-01,0
20.525,118.525,0,0.0,-3.5,0.0,1985-04-01,0
-11.425,-36.175,1,0.0,0.38,0.0,1985-04-01,1
-19.375,-92.325,1,0.0,-0.04,0.0,1985-04-01,1
18.425,-131.075,0,0.0,-3.63,0.0,1985-04-01,0
20.475,133.475,0,0.0,-3.0100000000000002,0.0,1985-04-01,0
-25.375,169.925,0,2.15,-0.97,0.0,1985-04-01,0
-0.775,3.075,0,0.0,-0.51,0.0,1985-04-01,0
24.625,-93.625,0,0.0,-6.0600000000000005,0.0,1985-04-01,0
19.975,90.925,0,0.0,-1.59,0.0,1985-04-01,0
-0.775,-151.225,0,0.0,-1.56,0.0,1985-04-01,0
9.475,-145.175,0,0.0,-2.22,0.0,1985-04-01,0
-20.375,-99.475,0,0.0,-0.47000000000000003,0.0,1985-04-01,0
7.975,137.725,0,0.0,-0.9,0.0,1985-04-01,0
4.925,-36.725,0,0.0,-1.19,0.0,1985-04-01,0
25.275,-163.175,0,0.0,-3.7600000000000002,0.0,1985-04-01,0
-13.325,-165.075,0,0.0,-0.65,0.0,1985-04-01,0
5.625,64.925,0,0.0,-0.21,0.0,1985-04-01,0
-13.325,109.325,0,0.0,-0.37,0.0,1985-04-01,0
-27.825,-25.225,1,0.15,0.05,0.0,1985-04-01,1
-18.175,55.625,0,0.0,-0.37,0.0,1985-04-01,0
-29.025,-25.225,0,0.0,-0.35000000000000003,0.0,1985-04-01,0
-28.875,-79.025,0,0.32,-1.1400000000000001,0.0,1985-04-01,0
3.375,-11.625,0,0.0,-0.8200000000000001,0.0,1985-04-01,0
25.775,-178.675,0,0.0,-5.17,0.0,1985-04-01,0
20.075,118.125,0,0.0,-4.17,0.0,1985-04-01,0
24.925,148.325,0,0.0,-5.05,0.0,1985-04-01,0
-3.925,-172.475,0,0.0,-1.62,0.0,1985-04-01,0
-25.275,-85.325,0,0.89,-0.96,0.0,1985-04-01,0
7.575,149.275,0,0.0,-1.44,0.0,1985-04-01,0
18.275,-27.475,0,0.0,-4.24,0.0,1985-04-01,0
-29.875,-104.525,1,0.29,0.06,0.0,1985-04-01,1
-12.125,126.475,0,0.0,-0.12,0.0,1985-04-01,0
9.575,153.375,0,0.0,-1.71,0.0,1985-04-01,0
20.825,-68.275,0,0.0,-4.0,0.0,1985-04-01,0
9.075,-22.975,0,0.0,-5.21,0.0,1985-04-01,0
-26.925,-153.325,0,3.44,-0.23,0.0,1985-04-01,0
2.425,-121.825,0,0.0,-0.45,0.0,1985-04-01,0
-8.375,-132.675,0,0.0,-0.06,0.0,1985-04-01,0
11.875,177.125,0,0.0,-2.25,0.0,1985-04-01,0
-16.325,-27.775,1,0.0,0.27,0.0,1985-04-01,1
-12.125,-9.375,1,1.12,0.15,0.0,1985-04-01,1
